;; -*- coding: utf-8-mcs-er -*-
M-17575 	&I-M-17575;	⿰⺡&GT-04385;
M-19645 	&M-19645;	
M-19646 	&M-19646;	
M-19647 	&M-19647;	
M-19648 	&I-M-19648;	
M-19649 	&M-19649;	
M-19650 	&M-19650;	
M-19651 	&I-M-19651;	
M-19652 	&M-19652;	
M-19653 	&I-M-19653;	
M-19654 	&M-19654;	
M-19655 	&I-M-19655;	
M-19656 	𤓱	
M-19657 	&M-19657;	
M-19658 	&M-19658;	
M-19659 	𤓵	
M-19660 	&M-19660;	
M-19661 	&M-19661;	
M-19662 	&I-M-19662;	⿺爪巴
M-19663 	&I-M-19663;	
M-19664 	&M-19664;	
M-19665 	&M-19665;	
M-19666 	&M-19666;	
M-19667 	&M-19667;	⿱&GT-25225;⿱&CDP-8BA2;朩
M-19668 	&M-19668;	
M-19669 	&M-19669;	
M-19670 	&I-M-19670;	
M-19671 	&I-M-19671;	
M-19672 	&I-M-19672;	
M-19673 	&M-19673;	
M-19674 	&M-19674;	
M-19675 	&M-19675;	
M-19676 	&M-19676;	
M-19677 	𤔈	
M-19678 	𤔉	
M-19679 	&M-19679;	
M-19680 	&M-19680;	
M-19681 	&M-19681;	
M-19682 	&M-19682;	
M-19683 	𤔑	
M-19684 	&M-19684;	
M-19685 	&M-19685;	
M-19686 	&I-M-19686;	
M-19687 	&GT-25281;	
M-19688 	&M-19688;	
M-19689 	&M-19689;	
M-19690 	&M-19690;	
M-19691 	&M-19691;	
M-19692 	&M-19692;	
M-19693 	&M-19693;	
M-19694 	&M-19694;	
M-19695 	&M-19695;	
M-19696 	&M-19696;	
M-19697 	𤔤	
M-19698 	&M-19698;	
M-19699 	&M-19699;	
M-19700 	&M-19700;	
M-19701 	&M-19701;	
M-19702 	&M-19702;	
M-19703 	&M-19703;	
M-19704 	&I-M-19704;	⿰國爪
M-19705 	&M-19705;	
M-19706 	&I-M-19706;	⿲爪⿱山未攴
M-19707 	&M-19707;	
M-19708 	&M-19708;	
M-19709 	&GT-25311;	
M-19710 	&M-19710;	
M-19710'	爵	⿳爫&GT-36329;&CDP-8D42;
M-19711 	&I-M-19711;	
M-19712 	&M-19712;	
M-19713 	&M-19713;	
M-19714 	&M-19714;	
M-19715 	&M-19715;	
M-19716 	&M-19716;	
M-19717 	&M-19717;	
M-19718 	&M-19718;	
M-19719 	&M-19719;	
M-19720 	&M-19720;	
M-19721 	&I-M-19721;	
M-19722 	&M-19722;	
M-19723 	&I-M-19723;	
M-19724 	&M-19724;	
M-19725 	&M-19725;	
M-19726 	&M-19726;	
M-19727 	&I-M-19727;	
M-19728 	&M-19728;	
M-19729 	&M-19729;	
M-19730 	&M-19730;	
M-19731 	&M-19731;	
M-19732 	&M-19732;	
M-19733 	&M-19733;	
M-19734 	&I-M-19734;	
M-19735 	&M-19735;	
M-19736 	&M-19736;	
M-19737 	&I-M-19737;	
M-19738 	&M-19738;	
M-19739 	&M-19739;	
M-19740 	&M-19740;	
M-19741 	&M-19741;	
M-19742 	&I-M-19742;	⿰爻疋
M-19743 	&I-M-19743;	⿰爻且
M-19744 	&M-19744;	
M-19745 	&M-19745;	
M-19746 	&I-M-19746;	
M-19747 	&I-M-19747;	
M-19748 	&I-M-19748;	
M-19749 	&M-19749;	
M-19750 	&I-M-19750;	⿱一&CDP-88D6;
M-19751 	&I-M-19751;	⿳&CDP-8AFC;⿰爻爻兀
M-19752 	&M-19752;	
M-19753 	&I-M-19753;	⿱&GT-00458;&CDP-85AE;
M-19754 	&M-19754;	
M-19755 	&I-M-19755;	⿱棥&CDP-88F8;
M-19756 	&M-19756;	
M-19757 	&I-M-19757;	⿳&GT-00458;止&CDP-88D6;
M-19758 	&I-M-19758;	
M-19759 	&CDP-87D0;	
M-19760 	&M-19760;	
M-19761 	&I-M-19761;	⿰爿也
M-19762 	&I-M-19762;	⿰爿水
M-19763 	&I-M-19763;	⿰爿木
M-19764 	&M-19764;	
M-19765 	&I-M-19765;	⿰爿&CDP-8C79;
M-19766 	&I-M-19766;	⿰爿召
M-19767 	&I-M-19767;	⿰爿可
M-19768 	&I-M-19768;	⿰爿且
M-19769 	&I-M-19769;	⿰爿犮
M-19770 	&I-M-19770;	⿰爿㐌
M-19771 	&M-19771;	
M-19772 	&I-M-19772;	⿰爿⿳夕一八
M-19773 	&I-M-19773;	⿰爿兆
M-19774 	&I-M-19774;	⿰爿羊
M-19775 	&I-M-19775;	⿰爿吾
M-19776 	&I-M-19776;	⿰爿&CDP-8CDB;
M-19777 	&I-M-19777;	⿰爿釆
M-19778 	&I-M-19778;	⿰爿求
M-19779 	&M-19779;	
M-19780 	&M-19780;	
M-19781 	&M-19781;	
M-19782 	&M-19782;	
M-19783 	&M-19783;	
M-19784 	&I-M-19784;	⿰爿⿱&CDP-88F0;水
M-19785 	&I-M-19785;	⿰爿戔
M-19786 	&I-M-19786;	⿰爿果
M-19787 	&I-M-19787;	⿰爿⿳歺一八
M-19788 	&I-M-19788;	⿰爿秉
M-19789 	&M-19789;	
M-19790 	&I-M-19790;	⿰爿枼
M-19791 	&M-19791;	⿰爿⿳夂力王
M-19792 	&M-19792;	⿰爿倉󠄀
M-19793 	&M-19793;	
M-19794 	&M-19794;	
M-19795 	&M-19795;	
M-19796 	&M-19796;	⿰爿責
M-19797 	&I-M-19797;	⿰爿&GT-11819;
M-19798 	&M-19798;	
M-19799 	&I-M-19799;	⿰爿&CDP-8AE1;
M-19800 	&I-M-19800;	⿰爿賁
M-19801 	&M-19801;	
M-19802 	&M-19802;	
M-19803 	&M-19803;	
M-19804 	&M-19804;	
M-19805 	&M-19805;	
M-19806 	&I-M-19806;	⿰爿嗇
M-19807 	&I-M-19807;	⿰爿⿳來一回
M-19808 	&I-M-19808;	⿰爿歷
M-19809 	&M-19809;	
M-19810 	&I-M-19810;	⿰爿⿱一奰
M-19811 	&M-19811;	
M-19812 	&M-19812;	
M-19813 	&I-M-19813;	
M-19814 	&M-19814;	
M-19815 	&I-M-19815;	⿰片也
M-19816 	&I-M-19816;	⿰片凡
M-19817 	&I-M-19817;	
M-19818 	&I-M-19818;	⿰片&GT-21300;
M-19819 	&M-19819;	
M-19820 	&I-M-19820;	⿰片勾
M-19821 	&I-M-19821;	⿰片欠
M-19822 	&I-M-19822;	⿰片片
M-19823 	&I-M-19823;	⿰片不
M-19824 	&I-M-19824;	⿰片&CDP-8C79;
M-19825 	&M-19825;	
M-19826 	&M-19826;	
M-19827 	&M-19827;	
M-19828 	&M-19828;	
M-19829 	&M-19829;	
M-19830 	&I-M-19830;	⿰片召
M-19831 	&I-M-19831;	⿰片皮
M-19832 	&M-19832;	
M-19833 	&I-M-19833;	⿰片旨
M-19834 	&I-M-19834;	⿰片兆
M-19835 	&I-M-19835;	⿰片列
M-19836 	&I-M-19836;	⿰片多
M-19837 	&I-M-19837;	⿰片𠂢
M-19838 	&I-M-19838;	⿰片向
M-19839 	&I-M-19839;	⿰片朱
M-19840 	&I-M-19840;	⿰片同
M-19841 	&M-19841;	
M-19842 	&M-19842;	
M-19843 	&I-M-19843;	⿰片足
M-19844 	&M-19844;	
M-19845 	&I-M-19845;	⿰片求
M-19846 	&I-M-19846;	⿰片⿰&CDP-8B6A;乚
M-19847 	𤗃	
M-19848 	&M-19848;	
M-19849 	&I-M-19849;	⿰片戔
M-19850 	&M-19850;	
M-19851 	&M-19851;	
M-19852 	&M-19852;	
M-19853 	&M-19853;	
M-19854 	&I-M-19854;	⿰片卑
M-19855 	&M-19855;	
M-19856 	&I-M-19856;	⿰片⿱夂田
M-19857 	&M-19857;	
M-19858 	&I-M-19858;	⿰片奄
M-19859 	&M-19859;	
M-19860 	&M-19860;	
M-19861 	&M-19861;	
M-19862 	&I-M-19862;	⿰片東
M-19863 	&I-M-19863;	⿰片是
M-19864 	&M-19864;	
M-19865 	&I-M-19865;	⿰片⿱匆心
M-19866 	&I-M-19866;	⿰片畐
M-19867 	&I-M-19867;	⿰片柬
M-19868 	&I-M-19868;	
M-19869 	&I-M-19869;	⿰片臿
M-19870 	&M-19870;	⿰片&GT-14816;
M-19871 	&I-M-19871;	⿰片枼
M-19872 	&I-M-19872;	⿰片叚
M-19873 	&M-19873;	
M-19874 	&M-19874;	
M-19875 	&M-19875;	⿰片虒
M-19876 	&I-M-19876;	⿰片&GT-17242;
M-19877 	&M-19877;	⿰片尃
M-19878 	&I-M-19878;	⿰片&CDP-8C73;
M-19879 	&I-M-19879;	⿰片⿱&CDP-8740;木
M-19880 	&I-M-19880;	⿰片⿳十⺿木
M-19881 	&M-19881;	
M-19882 	&M-19882;	
M-19883 	&I-M-19883;	⿰片&CDP-8BDD;
M-19884 	&M-19884;	
M-19885 	&M-19885;	
M-19886 	&M-19886;	
M-19887 	&M-19887;	
M-19888 	&I-M-19888;	⿰片虖
M-19889 	&I-M-19889;	⿰片責
M-19890 	&I-M-19890;	
M-19891 	&M-19891;	
M-19892 	&M-19892;	
M-19893 	&I-M-19893;	⿰片&GT-29057;
M-19894 	&I-M-19894;	⿰片貴
M-19895 	&I-M-19895;	⿰片菐
M-19896 	&M-19896;	
M-19897 	&I-M-19897;	⿰片粦
M-19898 	&I-M-19898;	⿰片賁
M-19899 	&M-19899;	
M-19900 	&M-19900;	
M-19901 	&I-M-19901;	⿰片業
M-19902 	&M-19902;	
M-19903 	&I-M-19903;	⿲辛片辛
M-19904 	&I-M-19904;	⿰片臺
M-19905 	&I-M-19905;	⿰片壽
M-19906 	&I-M-19906;	
M-19907 	&I-M-19907;	⿰片歷
M-19908 	&I-M-19908;	⿰片毚
M-19909 	&M-19909;	
M-19910 	&M-19910;	
M-19911 	𤘅	
M-19912 	𤘆	
M-19913 	&M-19913;	
M-19914 	&M-19914;	⿰牙艮
M-19915 	&M-19915;	⿱牙臼
M-19916 	&M-19916;	⿱牙⿻四一
M-19917 	&M-19917;	
M-19918 	&M-19918;	⿰牙奇
M-19919 	&I-M-19919;	⿱尚牙
M-19920 	&M-19920;	⿰牙禹
M-19921 	&M-19921;	⿰牙豈
M-19922 	&I-M-19922;	
M-19923 	&CDP-8BA9;	
M-19924 	&I-M-19924;	⿱一牛
M-19925 	&I-M-19925;	⿰&CDP-8BA9;匕
M-19926 	&I-M-19926;	⿰&CDP-8BA9;力
M-19927 	&M-19927;	
M-19928 	&I-M-19928;	⿱厶牛
M-19929 	&I-M-19929;	⿰&CDP-8BA9;丁
M-19930 	&I-M-19930;	⿰&CDP-8BA9;干
M-19931 	&I-M-19931;	⿰&CDP-8BA9;也
M-19932 	㸪	
M-19933 	&I-M-19933;	⿰&CDP-8BA9;土
M-19934 	&I-M-19934;	⿱宀牛
M-19935 	&M-19935;	⿰&CDP-8BA9;刃
M-19936 	&I-M-19936;	⿰&CDP-8BA9;口
M-19937 	&M-19937;	⿰&CDP-8BA9;弋
M-19938 	&M-19938;	⿰&CDP-8BA9;&CDP-8AF0;
M-19939 	&M-19939;	⿰&CDP-8BA9;&GT-17214;
M-19940 	&I-M-19940;	
M-19941 	&M-19941;	
M-19942 	&I-M-19942;	⿰&CDP-8BA9;毛
M-19943 	&M-19943;	
M-19944 	&M-19944;	
M-19945 	&M-19945;	
M-19946 	&M-19946;	
M-19947 	&M-19947;	
M-19948 	&M-19948;	
M-19949 	&M-19949;	
M-19950 	&I-M-19950;	⿰&CDP-8BA9;攵
M-19951 	&I-M-19951;	⿰&CDP-8BA9;今󠄀
M-19952 	&M-19952;	⿰&CDP-8BA9;斗
M-19953 	&I-M-19953;	⿰&CDP-8BA9;亢󠄀
M-19954 	&M-19954;	
M-19955 	&I-M-19955;	⿰&CDP-8BA9;冘
M-19956 	&M-19956;	
M-19957 	&M-19957;	
M-19958 	&I-M-19958;	⿰&CDP-8BA9;介
M-19959 	&I-M-19959;	⿰&CDP-8BA9;勿
M-19960 	&I-M-19960;	⿰&CDP-8BA9;牛
M-19961 	&I-M-19961;	⿱牛牛
M-19962 	&I-M-19962;	⿰&CDP-8BA9;戈
M-19963 	&I-M-19963;	⿰&CDP-8BA9;斤
M-19964 	&M-19964;	
M-19965 	&I-M-19965;	⿰&CDP-8BA9;犬
M-19966 	&M-19966;	
M-19967 	&M-19967;	
M-19968 	&M-19968;	
M-19969 	&M-19969;	
M-19970 	&I-M-19970;	⿰&CDP-8BA9;㐌
M-19971 	&M-19971;	
M-19972 	&I-M-19972;	⿰&CDP-8BA9;四
M-19973 	&M-19973;	
M-19974 	&M-19974;	
M-19975 	&M-19975;	
M-19976 	&M-19976;	
M-19977 	&M-19977;	
M-19978 	&M-19978;	
M-19979 	&I-M-19979;	⿱代牛
M-19980 	&M-19980;	
M-19981 	&I-M-19981;	⿰&CDP-8BA9;古
M-19982 	&M-19982;	
M-19983 	&I-M-19983;	⿰&CDP-8BA9;由
M-19984 	&I-M-19984;	⿰&CDP-8BA9;可
M-19985 	&M-19985;	
M-19986 	&I-M-19986;	⿰&CDP-8BA9;生
M-19987 	&I-M-19987;	⿰&CDP-8BA9;母
M-19988 	&I-M-19988;	⿰&CDP-8BA9;&M-17027;
M-19989 	&I-M-19989;	⿰&CDP-8BA9;⿱兀丂
M-19990 	&I-M-19990;	⿱去牛
M-19991 	&I-M-19991;	⿰&CDP-8BA9;⿻屮几
M-19992 	&M-19992;	
M-19993 	&I-M-19993;	⿰&CDP-8BA9;⿱勻一
M-19994 	&M-19994;	
M-19995 	&M-19995;	
M-19996 	&I-M-19996;	⿰&CDP-8BA9;&CDP-877E;
M-19997 	&M-19997;	
M-19998 	&M-19998;	
M-19999 	&M-19999;	
M-20000 	&I-M-20000;	⿰&CDP-8BA9;各
M-20001 	&I-M-20001;	
M-20002 	&I-M-20002;	
M-20003 	&I-M-20003;	⿰&CDP-8BA9;劦
M-20004 	&I-M-20004;	⿰&CDP-8BA9;吉
M-20005 	&I-M-20005;	⿰&CDP-8BA9;因
M-20006 	&I-M-20006;	⿱&CDP-8CE9;牛
M-20007 	&I-M-20007;	⿰&CDP-8BA9;同
M-20008 	&I-M-20008;	⿰&CDP-8BA9;兆
M-20009 	&I-M-20009;	⿰&CDP-8BA9;虫
M-20010 	&I-M-20010;	⿰&CDP-8BA9;后
M-20011 	&M-20011;	
M-20012 	&I-M-20012;	⿰&CDP-8BA9;字
M-20013 	&I-M-20013;	⿰&CDP-8BA9;寺
M-20014 	&I-M-20014;	⿰&CDP-8BA9;⿰弓弓
M-20015 	&I-M-20015;	⿱收牛
M-20016 	&I-M-20016;	⿰&CDP-8BA9;余
M-20017 	&M-20017;	
M-20018 	&I-M-20018;	⿱沙牛
M-20019 	&I-M-20019;	⿰&CDP-8BA9;矣
M-20020 	&I-M-20020;	⿰&CDP-8BA9;尨
M-20021 	&I-M-20021;	⿰&CDP-8BA9;夆
M-20022 	&M-20022;	
M-20023 	&I-M-20023;	⿰&CDP-8BA9;巠
M-20024 	&I-M-20024;	⿰&CDP-8BA9;邑
M-20025 	&I-M-20025;	
M-20026 	㸽	
M-20027 	&M-20027;	
M-20028 	&I-M-20028;	⿰&CDP-8BA9;吾
M-20029 	&I-M-20029;	
M-20030 	&M-20030;	
M-20031 	&M-20031;	
M-20032 	&I-M-20032;	
M-20033 	&M-20033;	
M-20034 	&M-20034;	
M-20035 	&M-20035;	
M-20036 	&M-20036;	
M-20037 	&I-M-20037;	⿱利牛
M-20038 	&I-M-20038;	⿰&CDP-8BA9;甫
M-20039 	&I-M-20039;	⿰&CDP-8BA9;豸
M-20040 	&M-20040;	
M-20041 	&I-M-20041;	⿰&CDP-8BA9;束
M-20042 	&I-M-20042;	
M-20043 	&M-20043;	
M-20044 	&I-M-20044;	⿰&CDP-8BA9;孛
M-20045 	&I-M-20045;	
M-20046 	&M-20046;	
M-20047 	&M-20047;	
M-20048 	&I-M-20048;	⿱𥝢牛
M-20049 	&M-20049;	
M-20050 	&M-20050;	
M-20051 	&M-20051;	
M-20052 	&M-20052;	⿰&CDP-8BA9;&GT-04385;
M-20053 	&M-20053;	
M-20054 	&I-M-20054;	⿰&CDP-8BA9;奇
M-20055 	&M-20055;	
M-20056 	&I-M-20056;	⿰&CDP-8BA9;岡
M-20057 	&M-20057;	
M-20058 	&I-M-20058;	⿱牛牪
M-20059 	&I-M-20059;	
M-20060 	&M-20060;	
M-20061 	&M-20061;	
M-20062 	&I-M-20062;	⿰&CDP-8BA9;享󠄀
M-20063 	&M-20063;	
M-20064 	&M-20064;	
M-20065 	&M-20065;	
M-20066 	&M-20066;	
M-20067 	𤙿	
M-20068 	&M-20068;	
M-20069 	&M-20069;	
M-20070 	𤚁	
M-20071 	&M-20071;	
M-20072 	&M-20072;	
M-20073 	𤚅	
M-20074 	&M-20074;	
M-20075 	𤙸	
M-20076 	&M-20076;	
M-20077 	&I-M-20077;	⿰&CDP-8BA9;叚
M-20078 	&I-M-20078;	
M-20079 	&M-20079;	
M-20080 	&M-20080;	
M-20081 	&M-20081;	
M-20082 	&M-20082;	
M-20083 	&M-20083;	
M-20084 	&M-20084;	
M-20085 	&M-20085;	
M-20086 	&I-M-20086;	⿱封牛
M-20087 	&M-20087;	
M-20088 	&M-20088;	
M-20089 	&M-20089;	
M-20090 	&M-20090;	
M-20091 	&I-M-20091;	
M-20092 	&I-M-20092;	⿰&CDP-8BA9;科
M-20093 	&I-M-20093;	⿰&CDP-8BA9;狊
M-20094 	&M-20094;	
M-20095 	&M-20095;	
M-20096 	&M-20096;	
M-20097 	&M-20097;	
M-20098 	&M-20098;	
M-20099 	&M-20099;	
M-20100 	&M-20100;	
M-20101 	&M-20101;	
M-20102 	&M-20102;	
M-20103 	&M-20103;	
M-20104 	&I-M-20104;	⿰&CDP-8BA9;⿱⿱丿&GT-36329;山
M-20105 	&I-M-20105;	⿰&CDP-8BA9;飛
M-20106 	&I-M-20106;	⿰&CDP-8BA9;蚩
M-20107 	&M-20107;	
M-20108 	&M-20108;	
M-20109 	&M-20109;	
M-20110 	&M-20110;	
M-20111 	&I-M-20111;	⿰&CDP-8BA9;倉󠄀
M-20112 	&I-M-20112;	⿰&CDP-8BA9;原
M-20113 	&M-20113;	
M-20114 	&I-M-20114;	⿰&CDP-8BA9;高
M-20115 	&M-20115;	
M-20116 	&I-M-20116;	⿰&CDP-8BA9;芻
M-20117 	&M-20117;	
M-20118 	&M-20118;	
M-20119 	&M-20119;	
M-20120 	&M-20120;	
M-20121 	&M-20121;	
M-20122 	&M-20122;	⿰&CDP-8BA9;&CDP-8C73;
M-20123 	&M-20123;	
M-20124 	&M-20124;	
M-20125 	&M-20125;	
M-20126 	&I-M-20126;	⿱&CDP-8BE3;牛
M-20127 	&M-20127;	
M-20128 	&M-20128;	
M-20129 	&I-M-20129;	⿰&CDP-8BA9;馬
M-20130 	&M-20130;	
M-20131 	&I-M-20131;	⿰⿱夕&CDP-885E;⿱勿牛
M-20132 	&M-20132;	
M-20133 	&I-M-20133;	⿰&CDP-8BA9;鬼
M-20134 	&M-20134;	
M-20135 	&M-20135;	
M-20136 	&I-M-20136;	⿰&CDP-8BA9;⿸辰寸
M-20137 	&M-20137;	
M-20138 	&M-20138;	
M-20139 	&M-20139;	
M-20140 	&M-20140;	
M-20141 	&M-20141;	⿸麻牛
M-20142 	&I-M-20142;	⿰&CDP-8BA9;堂
M-20143 	&M-20143;	⿰&CDP-8BA9;參
M-20144 	&I-M-20144;	⿱尉牛
M-20145 	&I-M-20145;	⿰&CDP-8BA9;尉
M-20146 	&I-M-20146;	⿰&CDP-8BA9;&GT-35270;
M-20147 	&I-M-20147;	⿰&CDP-8BA9;堇
M-20148 	&M-20148;	
M-20149 	&M-20149;	
M-20150 	&M-20150;	
M-20151 	&I-M-20151;	⿱從牛
M-20152 	&M-20152;	
M-20153 	&M-20153;	
M-20154 	&I-M-20154;	⿸𠩺牛
M-20155 	&M-20155;	
M-20156 	&M-20156;	
M-20157 	&M-20157;	
M-20158 	&M-20158;	
M-20159 	&M-20159;	
M-20160 	&M-20160;	
M-20161 	&M-20161;	
M-20162 	&I-M-20162;	⿰&CDP-8BA9;脩
M-20163 	&M-20163;	
M-20164 	&M-20164;	
M-20165 	&I-M-20165;	⿰&CDP-8BA9;貳
M-20166 	&M-20166;	
M-20167 	&I-M-20167;	⿰&CDP-8BA9;⿱厽⿱&GT-00458;&CDP-8CD9;
M-20168 	&I-M-20168;	⿰&CDP-8BA9;&GT-16781;
M-20169 	&M-20169;	
M-20170 	&I-M-20170;	⿰&CDP-8BA9;厥
M-20171 	&I-M-20171;	⿰&CDP-8BA9;&GT-33246;
M-20172 	&I-M-20172;	⿰&CDP-8BA9;菐
M-20173 	&I-M-20173;	⿰&CDP-8BA9;&GT-09374;
M-20174 	&I-M-20174;	⿰&CDP-8BA9;堯
M-20175 	&I-M-20175;	⿰&CDP-8BA9;喬
M-20176 	&M-20176;	
M-20177 	&I-M-20177;	⿰&CDP-8BA9;⿳卝王牛
M-20178 	&M-20178;	
M-20179 	&I-M-20179;	⿰&CDP-8BA9;蜀
M-20180 	&I-M-20180;	⿰&CDP-8BA9;&CDP-8DAA;
M-20181 	&I-M-20181;	
M-20182 	&M-20182;	
M-20183 	&M-20183;	
M-20184 	&I-M-20184;	⿱&CDP-8B65;牛
M-20185 	&I-M-20185;	⿰&CDP-8BA9;嵬
M-20186 	&I-M-20186;	⿰&CDP-8BA9;&GT-47165;
M-20187 	&M-20187;	
M-20188 	&I-M-20188;	⿰&CDP-8BA9;萬
M-20189 	&M-20189;	
M-20190 	&M-20190;	
M-20190'	犠	⿰牛義
M-20191 	&I-M-20191;	⿰&CDP-8BA9;壽
M-20192 	&I-M-20192;	⿰&CDP-8BA9;需
M-20193 	&M-20193;	
M-20194 	&M-20194;	
M-20195 	&I-M-20195;	⿰&CDP-8BA9;&M-03041;
M-20196 	&I-M-20196;	
M-20197 	&M-20197;	
M-20198 	&M-20198;	
M-20199 	&M-20199;	
M-20200 	&I-M-20200;	⿰&CDP-8BA9;罷
M-20201 	&M-20201;	
M-20202 	&M-20202;	
M-20203 	&M-20203;	⿰&CDP-8BA9;麃
M-20204 	&M-20204;	
M-20205 	&I-M-20205;	⿰&CDP-8BA9;暴
M-20206 	&M-20206;	
M-20207 	&M-20207;	
M-20208 	&M-20208;	
M-20209 	&I-M-20209;	⿰&CDP-8BA9;羲
M-20210 	&I-M-20210;	
M-20211 	&M-20211;	
M-20212 	&M-20212;	
M-20213 	&M-20213;	
M-20214 	&M-20214;	
M-20215 	&M-20215;	
M-20216 	&M-20216;	
M-20217 	&M-20217;	
M-20218 	&M-20218;	
M-20219 	&M-20219;	
M-20220 	&M-20220;	
M-20221 	&M-20221;	
M-20222 	&M-20222;	
M-20223 	&M-20223;	
M-20224 	&M-20224;	
M-20225 	&M-20225;	
M-20226 	&M-20226;	
M-20227 	&M-20227;	⿰&CDP-8BA9;夔
M-20228 	&M-20228;	
M-20229 	&M-20229;	
M-20230 	&M-20230;	
M-20231 	&M-20231;	
M-20232 	&M-20232;	
M-20233 	&M-20233;	
M-20234 	&I-M-20234;	
M-20235 	&I-M-20235;	
M-20236 	&I-M-20236;	
M-20237 	&I-M-20237;	
M-20238 	&I-M-20238;	⿰⺨㔾
M-20239 	&I-M-20239;	⿰⺨𢎘
M-20240 	&I-M-20240;	⿰⺨力
M-20241 	&I-M-20241;	⿰⺨几
M-20242 	&I-M-20242;	⿰⺨九
M-20243 	&I-M-20243;	⿰⺨阝
M-20244 	&M-20244;	
M-20245 	&I-M-20245;	⿰⺨也
M-20246 	&I-M-20246;	⿰⺨丸
M-20247 	&I-M-20247;	⿰⺨乇
M-20248 	&I-M-20248;	⿰⺨才
M-20249 	&M-20249;	
M-20250 	&I-M-20250;	⿰⺨干
M-20251 	&I-M-20251;	⿰⺨乞
M-20252 	𤜮	
M-20253 	&I-M-20253;	⿰⺨&CDP-8AF0;
M-20254 	𤜧	
M-20255 	𤜩	
M-20256 	&M-20256;	⿰⺨叉
M-20257 	&I-M-20257;	⿰丬犬
M-20258 	&I-M-20258;	⿰⺨及
M-20259 	&I-M-20259;	⿰⺨尤
M-20260 	&I-M-20260;	⿰⺨今󠄀
M-20261 	&I-M-20261;	⿰⺨亢󠄀
M-20262 	&I-M-20262;	⿰⺨巴
M-20263 	&I-M-20263;	⿰巿犬
M-20264 	&I-M-20264;	⿰⺨巿
M-20265 	&I-M-20265;	⿰⺨帀
M-20266 	&I-M-20266;	⿰⺨冘
M-20267 	&I-M-20267;	⿰⺨开
M-20268 	&I-M-20268;	⿰⺨爪
M-20269 	&I-M-20269;	⿰⺨互
M-20270 	&I-M-20270;	⿰⺨厄
M-20271 	&I-M-20271;	⿰⺨孔
M-20272 	&M-20272;	⿰犬欠
M-20273 	&I-M-20273;	⿰⺨欠
M-20274 	&M-20274;	⿰⺨牙
M-20275 	&I-M-20275;	⿰犬犬
M-20276 	&I-M-20276;	⿰⺨犬
M-20277 	&M-20277;	
M-20278 	&M-20278;	⿰⺨比
M-20279 	&M-20279;	
M-20280 	&I-M-20280;	⿰爿犬
M-20281 	&I-M-20281;	⿰⺨氏
M-20282 	&I-M-20282;	⿰⺨斤
M-20283 	&I-M-20283;	⿰⺨夬
M-20284 	&I-M-20284;	⿰⺨勻
M-20285 	&I-M-20285;	⿰⺨內󠄀
M-20286 	&I-M-20286;	⿰⺨允
M-20287 	&I-M-20287;	⿰⺨王
M-20288 	&I-M-20288;	⿰⺨屯
M-20289 	&I-M-20289;	⿰⺨丑
M-20290 	&I-M-20290;	⿰⺨火
M-20291 	&M-20291;	⿰⺨丮
M-20292 	&I-M-20292;	⿰⺨𡈼
M-20293 	&I-M-20293;	⿰⺨中
M-20294 	&I-M-20294;	⿰⺨元
M-20295 	&I-M-20295;	⿰⺨日
M-20296 	&M-20296;	
M-20297 	&I-M-20297;	⿰𠂔犬
M-20298 	&M-20298;	
M-20299 	&I-M-20299;	⿰⺨𢆰
M-20300 	&M-20300;	
M-20301 	&M-20301;	
M-20302 	&M-20302;	
M-20303 	&M-20303;	
M-20304 	&I-M-20304;	⿰⺨木
M-20305 	&M-20305;	
M-20306 	&I-M-20306;	⿰⺨⿹⺄屮
M-20307 	&I-M-20307;	⿰⺨弁
M-20308 	&I-M-20308;	⿰⺨号
M-20309 	&M-20309;	
M-20310 	&I-M-20310;	⿰⺨出
M-20311 	&I-M-20311;	⿰⺨占
M-20312 	&I-M-20312;	⿰⺨付
M-20313 	&I-M-20313;	⿰⺨玄
M-20314 	&I-M-20314;	⿰⺨加
M-20315 	&I-M-20315;	⿰⺨母
M-20316 	&I-M-20316;	⿰⺨丕
M-20317 	&I-M-20317;	⿰⺨只
M-20318 	&I-M-20318;	⿰⺨田
M-20319 	&M-20319;	⿰⺨冬
M-20320 	&M-20320;	⿱目犬
M-20321 	&I-M-20321;	⿰⺨示
M-20322 	&I-M-20322;	⿰⺨去
M-20323 	&I-M-20323;	⿰⺨主󠄁
M-20324 	&I-M-20324;	⿰⺨生
M-20325 	&I-M-20325;	⿰⺨乎
M-20326 	&I-M-20326;	⿰⺨巨
M-20327 	&I-M-20327;	⿰⺨召
M-20328 	&I-M-20328;	⿰⺨包
M-20329 	&I-M-20329;	⿰⺨甲
M-20330 	&I-M-20330;	⿰⺨申
M-20331 	&M-20331;	
M-20332 	&I-M-20332;	⿰⺨㐌
M-20333 	&I-M-20333;	⿰⺨瓜
M-20334 	&I-M-20334;	⿰⺨犮
M-20335 	&M-20335;	
M-20336 	&M-20336;	⿰⺨央
M-20337 	𤝝	
M-20338 	&I-M-20338;	⿰⺨弗
M-20339 	&I-M-20339;	⿰弗犬
M-20340 	&M-20340;	⿰⺨术
M-20341 	&I-M-20341;	⿰⺨皮
M-20342 	&I-M-20342;	⿰⺨尼
M-20343 	&I-M-20343;	⿰⺨幼
M-20344 	&I-M-20344;	
M-20345 	&I-M-20345;	⿰⺨句
